"","geneid","gene_name"
"814","FBgn0025827","CG6421"
"815","FBgn0025836","RhoGAP1A"
"816","FBgn0025839","ND-B14.5A"
"817","FBgn0025866","CalpB"
"818","FBgn0025879","Timp"
"819","FBgn0025885","Inos"
"820","FBgn0025936","Eph"
"821","FBgn0026015","Top3beta"
"822","FBgn0026059","Mhcl"
"823","FBgn0026060","Mipp2"
"824","FBgn0026061","Mipp1"
"825","FBgn0026076","UBL3"
"826","FBgn0026077","Gasp"
"827","FBgn0026079","Nsun2"
"828","FBgn0026084","cib"
"829","FBgn0026086","Adar"
"830","FBgn0026090","CG14812"
"831","FBgn0026147","TTLL4A"
"832","FBgn0026150","ApepP"
"833","FBgn0026160","tna"
"834","FBgn0026179","siz"
"835","FBgn0026189","promL"
"836","FBgn0026196","nop5"
"837","FBgn0026199","myo"
"838","FBgn0026207","mbo"
"839","FBgn0026250","eIF1A"
"840","FBgn0026252","msk"
"841","FBgn0026259","eIF5B"
"842","FBgn0026261","bonsai"
"843","FBgn0026314","Ugt35B1"
"844","FBgn0026315","Ugt35A1"
"845","FBgn0026319","Traf4"
"846","FBgn0026324","Taf10b"
"847","FBgn0026326","Mad1"
"848","FBgn0026372","RpL23A"
"849","FBgn0026378","Rep"
"850","FBgn0026379","Pten"
"851","FBgn0026380","Prosbeta3"
"852","FBgn0026400","Noa36"
"853","FBgn0026409","Mpcp2"
"854","FBgn0026415","Idgf4"
"855","FBgn0026417","Hus1-like"
"856","FBgn0026418","Hsc70Cb"
"857","FBgn0026428","HDAC6"
"858","FBgn0026439","Eaat1"
"859","FBgn0026562","SPARC"
"860","FBgn0026565","Ass"
"861","FBgn0026592","Fie"
"862","FBgn0026593","CG5707"
"863","FBgn0026619","Taz"
"864","FBgn0026630","nes"
"865","FBgn0026634","Cog2"
"866","FBgn0026666","MagR"
"867","FBgn0026718","Agpat2"
"868","FBgn0026721","fat-spondin"
"869","FBgn0026737","CG6171"
"870","FBgn0026738","CG7857"
"871","FBgn0026749","Yippee"
"872","FBgn0026777","Rad23"
"873","FBgn0026787","Nhe1"
"874","FBgn0026872","CG14777"
"875","FBgn0026878","CG4325"
"876","FBgn0026879","CG13364"
"877","FBgn0027052","STUB1"
"878","FBgn0027053","CSN5"
"879","FBgn0027054","CSN4"
"880","FBgn0027057","CSN1b"
"881","FBgn0027070","Ugt36E1"
"882","FBgn0027073","Ugt49B1"
"883","FBgn0027080","TyrRS"
"884","FBgn0027081","ThrRS"
"885","FBgn0027085","LeuRS-m"
"886","FBgn0027087","HisRS"
"887","FBgn0027090","GlnRS"
"888","FBgn0027093","ArgRS"
"889","FBgn0027095","Manf"
"890","FBgn0027101","Dyrk3"
"891","FBgn0027108","Inx2"
"892","FBgn0027280","l(1)G0193"
"893","FBgn0027287","Gmap"
"894","FBgn0027296","temp"
"895","FBgn0027330","l(1)G0020"
"896","FBgn0027334","l(1)G0004"
"897","FBgn0027338","Kap-alpha3"
"898","FBgn0027348","bgm"
"899","FBgn0027356","Amph"
"900","FBgn0027360","Tim10"
"901","FBgn0027375","RecQ5"
"902","FBgn0027493","AdSS"
"903","FBgn0027505","Rab3-GAP"
"904","FBgn0027506","EDTP"
"905","FBgn0027512","CG10254"
"906","FBgn0027515","CG7115"
"907","FBgn0027524","CG3909"
"908","FBgn0027525","LTV1"
"909","FBgn0027528","goe"
"910","FBgn0027532","CG7139"
"911","FBgn0027535","botv"
"912","FBgn0027538","beta4GalNAcTA"
"913","FBgn0027539","lili"
"914","FBgn0027547","CG1927"
"915","FBgn0027550","CG6495"
"916","FBgn0027552","CG10863"
"917","FBgn0027554","CG8042"
"918","FBgn0027556","CG4928"
"919","FBgn0027560","Tps1"
"920","FBgn0027562","CG10345"
"921","FBgn0027563","CG9631"
"922","FBgn0027564","CG3149"
"923","FBgn0027565","CG5498"
"924","FBgn0027572","CG5009"
"925","FBgn0027574","CG5815"
"926","FBgn0027578","Nepl21"
"927","FBgn0027579","mino"
"928","FBgn0027580","PCB"
"929","FBgn0027581","CG6191"
"930","FBgn0027583","CG7601"
"931","FBgn0027584","CG4757"
"932","FBgn0027585","CG8740"
"933","FBgn0027586","CG5867"
"934","FBgn0027587","CG7028"
"935","FBgn0027588","GCS2alpha"
"936","FBgn0027590","GstE12"
"937","FBgn0027596","Kank"
"938","FBgn0027597","CG17712"
"939","FBgn0027599","CG2790"
"940","FBgn0027600","obst-B"
"941","FBgn0027601","pdgy"
"942","FBgn0027602","CG8611"
"943","FBgn0027607","CG8230"
"944","FBgn0027610","Dic1"
"945","FBgn0027611","LManII"
"946","FBgn0027621","Pfrx"
"947","FBgn0027654","jdp"
"948","FBgn0027657","glob1"
"949","FBgn0027779","VhaSFD"
"950","FBgn0027780","Aasdh"
"951","FBgn0027784","Prp18"
"952","FBgn0027790","GV1"
"953","FBgn0027835","Dp1"
"954","FBgn0027836","Dgp-1"
"955","FBgn0027841","CstF64"
"956","FBgn0027843","CAH2"
"957","FBgn0027844","CAH1"
"958","FBgn0027864","Ogg1"
"959","FBgn0027865","Tsp96F"
"960","FBgn0027872","rdgBbeta"
"961","FBgn0027929","NimB1"
"962","FBgn0027930","MP1"
"963","FBgn0027945","ppl"
"964","FBgn0028325","Pdha"
"965","FBgn0028327","l(1)G0320"
"966","FBgn0028342","ATPsyndelta"
"967","FBgn0028360","Cdc7"
"968","FBgn0028371","jbug"
"969","FBgn0028382","cyp33"
"970","FBgn0028394","CG17834"
"971","FBgn0028396","TotA"
"972","FBgn0028398","Taf10"
"973","FBgn0028399","TMS1"
"974","FBgn0028402","Sin"
"975","FBgn0028411","Nxt1"
"976","FBgn0028421","Kap3"
"977","FBgn0028424","JhI-26"
"978","FBgn0028426","RNaseZ"
"979","FBgn0028427","Ilk"
"980","FBgn0028436","ECSIT"
"981","FBgn0028467","CG11070"
"982","FBgn0028473","Non1"
"983","FBgn0028475","Hrd3"
"984","FBgn0028479","Mtpalpha"
"985","FBgn0028480","CG17841"
"986","FBgn0028482","bdl"
"987","FBgn0028484","Ack"
"988","FBgn0028491","CG2930"
"989","FBgn0028494","CG6424"
"990","FBgn0028507","CG3793"
"991","FBgn0028509","CenG1A"
"992","FBgn0028515","EndoGI"
"993","FBgn0028516","ZnT35C"
"994","FBgn0028526","CG15293"
"995","FBgn0028527","CG18507"
"996","FBgn0028530","mTTF"
"997","FBgn0028539","Eato"
"998","FBgn0028540","CG9008"
"999","FBgn0028541","TM9SF4"
"1000","FBgn0028542","NimB4"
"1001","FBgn0028543","NimB2"
"1002","FBgn0028546","ics"
"1003","FBgn0028550","Atf3"
"1004","FBgn0028552","gammaSnap1"
"1005","FBgn0028554","x16"
"1006","FBgn0028572","qtc"
"1007","FBgn0028579","phtf"
"1008","FBgn0028583","lcs"
"1009","FBgn0028622","qsm"
"1010","FBgn0028646","aralar1"
"1011","FBgn0028662","VhaPPA1-1"
"1012","FBgn0028663","VhaM9.7-b"
"1013","FBgn0028664","VhaM9.7-c"
"1014","FBgn0028670","Vha100-2"
"1015","FBgn0028671","Vha100-1"
"1016","FBgn0028684","Rpt5"
"1017","FBgn0028686","Rpt3"
"1018","FBgn0028688","Rpn7"
"1019","FBgn0028689","Rpn6"
"1020","FBgn0028691","Rpn9"
"1021","FBgn0028697","RpL15"
"1022","FBgn0028699","Rh50"
"1023","FBgn0028700","RfC38"
"1024","FBgn0028737","eEF1beta"
"1025","FBgn0028744","CG5033"
"1026","FBgn0028746","CG18508"
"1027","FBgn0028833","Dak1"
"1028","FBgn0028886","CG15279"
"1029","FBgn0028894","GMF"
"1030","FBgn0028926","NC2beta"
"1031","FBgn0028932","CG16890"
"1032","FBgn0028936","NimB5"
"1033","FBgn0028939","NimC2"
"1034","FBgn0028940","Cyp28a5"
"1035","FBgn0028955","CG8788"
"1036","FBgn0028956","mthl3"
"1037","FBgn0028962","AlaRS-m"
"1038","FBgn0028965","A16"
"1039","FBgn0028969","deltaCOP"
"1040","FBgn0028970","betaggt-II"
"1041","FBgn0028978","trbl"
"1042","FBgn0028982","Spt6"
"1043","FBgn0028983","Spn55B"
"1044","FBgn0028984","Spn88Ea"
"1045","FBgn0028988","Spn42Dd"
"1046","FBgn0028990","Spn27A"
"1047","FBgn0029092","ced-6"
"1048","FBgn0029093","cathD"
"1049","FBgn0029095","aru"
"1050","FBgn0029117","Surf1"
"1051","FBgn0029118","ScsbetaG"
"1052","FBgn0029133","REG"
"1053","FBgn0029134","Prosbeta5"
"1054","FBgn0029147","NtR"
"1055","FBgn0029148","NHP2"
"1056","FBgn0029155","Men-b"
"1057","FBgn0029158","Las"
"1058","FBgn0029167","Hml"
"1059","FBgn0029172","Fad2"
"1060","FBgn0029174","Fkbp59"
"1061","FBgn0029175","sotv"
"1062","FBgn0029502","Coq7"
"1063","FBgn0029503","CHORD"
"1064","FBgn0029504","CHES-1-like"
"1065","FBgn0029506","Tsp42Ee"
"1066","FBgn0029508","Tsp42Ea"
"1067","FBgn0029514","312"
"1068","FBgn0029524","CG3176"
"1069","FBgn0029525","CG18273"
"1070","FBgn0029529","CG13365"
"1071","FBgn0029608","CG3091"
"1072","FBgn0029629","eIF3g1"
"1073","FBgn0029648","CG3603"
"1074","FBgn0029665","CG14270"
"1075","FBgn0029672","CG2875"
"1076","FBgn0029676","HIP-R"
"1077","FBgn0029687","Vap33"
"1078","FBgn0029689","CG6428"
"1079","FBgn0029706","CG3626"
"1080","FBgn0029709","CHOp24"
"1081","FBgn0029714","CG3527"
"1082","FBgn0029715","CG11444"
"1083","FBgn0029718","mRpL30"
"1084","FBgn0029723","Proc-R"
"1085","FBgn0029736","CG4041"
"1086","FBgn0029737","CG6903"
"1087","FBgn0029755","Sas10"
"1088","FBgn0029762","NAAT1"
"1089","FBgn0029763","Usp16-45"
"1090","FBgn0029765","CG16756"
"1091","FBgn0029769","frma"
"1092","FBgn0029771","CG12730"
"1093","FBgn0029783","Sirt4"
"1094","FBgn0029785","RpL35"
"1095","FBgn0029798","CG4078"
"1096","FBgn0029799","CG15772"
"1097","FBgn0029801","CG15771"
"1098","FBgn0029813","AgmNAT"
"1099","FBgn0029819","Usp30"
"1100","FBgn0029820","CG16721"
"1101","FBgn0029821","CG4020"
"1102","FBgn0029823","Shmt"
"1103","FBgn0029828","CG6067"
"1104","FBgn0029831","CG5966"
"1105","FBgn0029838","CG4666"
"1106","FBgn0029843","Nep1"
"1107","FBgn0029849","Efr"
"1108","FBgn0029853","CG3781"
"1109","FBgn0029854","CG3566"
"1110","FBgn0029857","wuho"
"1111","FBgn0029860","CG15891"
"1112","FBgn0029866","CG3842"
"1113","FBgn0029867","CG3847"
"1114","FBgn0029868","ND-B16.6"
"1115","FBgn0029878","Pat1"
"1116","FBgn0029881","pigs"
"1117","FBgn0029882","CG3226"
"1118","FBgn0029885","CG3224"
"1119","FBgn0029888","ND-ASHI"
"1120","FBgn0029891","Pink1"
"1121","FBgn0029892","CG3184"
"1122","FBgn0029896","CG3168"
"1123","FBgn0029897","RpL17"
"1124","FBgn0029898","CG14439"
"1125","FBgn0029912","CG4557"
"1126","FBgn0029913","Cht11"
"1127","FBgn0029925","CG3040"
"1128","FBgn0029932","CG4607"
"1129","FBgn0029936","CG4617"
"1130","FBgn0029937","CG8300"
"1131","FBgn0029942","CG2059"
"1132","FBgn0029943","Atg5"
"1133","FBgn0029958","Pdp"
"1134","FBgn0029969","CG10932"
"1135","FBgn0029971","ND-MNLL"
"1136","FBgn0029975","spidey"
"1137","FBgn0029976","snz"
"1138","FBgn0029980","CG10778"
"1139","FBgn0029990","CG2233"
"1140","FBgn0029992","Upf2"
"1141","FBgn0029994","Ldsdh1"
"1142","FBgn0029999","CG1575"
"1143","FBgn0030000","CG2260"
"1144","FBgn0030003","CG2116"
"1145","FBgn0030013","GIIIspla2"
"1146","FBgn0030026","sni"
"1147","FBgn0030029","CG15343"
"1148","FBgn0030030","CG1636"
"1149","FBgn0030035","PIG-T"
"1150","FBgn0030039","CG12123"
"1151","FBgn0030041","CG12116"
"1152","FBgn0030051","spirit"
"1153","FBgn0030052","CG12065"
"1154","FBgn0030053","CG12081"
"1155","FBgn0030055","Rubicon"
"1156","FBgn0030057","Ppt1"
"1157","FBgn0030061","CG1785"
"1158","FBgn0030063","CG1789"
"1159","FBgn0030066","Uros1"
"1160","FBgn0030067","Rbm13"
"1161","FBgn0030073","CG10962"
"1162","FBgn0030081","CG7246"
"1163","FBgn0030082","HP1b"
"1164","FBgn0030085","CG6999"
"1165","FBgn0030088","Arfrp1"
"1166","FBgn0030099","CG12056"
"1167","FBgn0030101","CG12118"
"1168","FBgn0030102","SmydA-9"
"1169","FBgn0030109","CG12121"
"1170","FBgn0030122","Aladin"
"1171","FBgn0030136","RpS28b"
"1172","FBgn0030156","CG15247"
"1173","FBgn0030157","CG1468"
"1174","FBgn0030160","CG9691"
"1175","FBgn0030163","CG1791"
"1176","FBgn0030164","CG1889"
"1177","FBgn0030177","CG2972"
"1178","FBgn0030178","Naxe"
"1179","FBgn0030183","CG15309"
"1180","FBgn0030189","CG2909"
"1181","FBgn0030196","Psf3"
"1182","FBgn0030218","CG1628"
"1183","FBgn0030234","CG15211"
"1184","FBgn0030237","CG15209"
"1185","FBgn0030239","CG17333"
"1186","FBgn0030243","CG2186"
"1187","FBgn0030244","CG2157"
"1188","FBgn0030245","CG1637"
"1189","FBgn0030251","CG2145"
"1190","FBgn0030261","CG15203"
"1191","FBgn0030262","Vago"
"1192","FBgn0030263","CG2076"
"1193","FBgn0030270","CG15199"
"1194","FBgn0030271","CG15202"
"1195","FBgn0030272","CG15201"
"1196","FBgn0030286","Gapvd1"
"1197","FBgn0030289","GCS1"
"1198","FBgn0030292","CG11752"
"1199","FBgn0030304","Cyp4g15"
"1200","FBgn0030309","CG1572"
"1201","FBgn0030310","PGRP-SA"
"1202","FBgn0030311","CG11699"
"1203","FBgn0030316","CG11695"
"1204","FBgn0030326","CG2444"
"1205","FBgn0030327","FucT6"
"1206","FBgn0030329","prtp"
"1207","FBgn0030332","CG9360"
"1208","FBgn0030334","Karl"
"1209","FBgn0030342","CG10347"
"1210","FBgn0030343","ATP7"
"1211","FBgn0030344","Nrd1"
"1212","FBgn0030345","CG1847"
"1213","FBgn0030347","CG15739"
"1214","FBgn0030349","CG10353"
"1215","FBgn0030350","SelG"
"1216","FBgn0030351","CG1840"
"1217","FBgn0030352","sicily"
"1218","FBgn0030357","Sclp"
"1219","FBgn0030360","CG1806"
"1220","FBgn0030362","regucalcin"
"1221","FBgn0030366","Usp7"
"1222","FBgn0030367","Cyp311a1"
"1223","FBgn0030369","Cyp318a1"
"1224","FBgn0030400","Pits"
"1225","FBgn0030403","CG1824"
"1226","FBgn0030406","CG1463"
"1227","FBgn0030418","CG4004"
"1228","FBgn0030425","Nep6"
"1229","FBgn0030431","CG4407"
"1230","FBgn0030432","CG4404"
"1231","FBgn0030434","Brms1"
"1232","FBgn0030435","CG4645"
"1233","FBgn0030447","CG2200"
"1234","FBgn0030451","CG15717"
"1235","FBgn0030452","MFS10"
"1236","FBgn0030456","CG4332"
"1237","FBgn0030457","CG12096"
"1238","FBgn0030460","Coq5"
"1239","FBgn0030478","CG1640"
"1240","FBgn0030479","Rbp1-like"
"1241","FBgn0030480","Tim9a"
"1242","FBgn0030482","CG1673"
"1243","FBgn0030484","GstT4"
"1244","FBgn0030485","CG1998"
"1245","FBgn0030502","tth"
"1246","FBgn0030503","Tango2"
"1247","FBgn0030504","CG2691"
"1248","FBgn0030510","CG12177"
"1249","FBgn0030511","CG11158"
"1250","FBgn0030512","Nadsyn"
"1251","FBgn0030518","CG11134"
"1252","FBgn0030519","CG11151"
"1253","FBgn0030522","CG11103"
"1254","FBgn0030539","CG1368"
"1255","FBgn0030554","CG1434"
"1256","FBgn0030555","Fbxl4"
"1257","FBgn0030556","mRNA-cap"
"1258","FBgn0030558","CG1461"
"1259","FBgn0030571","CG14414"
"1260","FBgn0030572","mRpS25"
"1261","FBgn0030574","sbm"
"1262","FBgn0030575","CG5321"
"1263","FBgn0030584","CG14407"
"1264","FBgn0030593","CG9512"
"1265","FBgn0030594","fiz"
"1266","FBgn0030595","CG14406"
"1267","FBgn0030603","CG5541"
"1268","FBgn0030605","ND-B18"
"1269","FBgn0030607","dob"
"1270","FBgn0030608","Lsd-2"
"1271","FBgn0030610","CG9065"
"1272","FBgn0030611","CG15027"
"1273","FBgn0030612","CG5599"
"1274","FBgn0030616","RpL37a"
"1275","FBgn0030630","CG12608"
"1276","FBgn0030638","CG11655"
"1277","FBgn0030641","CG6299"
"1278","FBgn0030645","Alg14"
"1279","FBgn0030648","CG6340"
"1280","FBgn0030662","CG9220"
"1281","FBgn0030668","CG8128"
"1282","FBgn0030669","CG9240"
"1283","FBgn0030671","CG8134"
"1284","FBgn0030672","CG9281"
"1285","FBgn0030675","CG8191"
"1286","FBgn0030678","CG11679"
"1287","FBgn0030679","CG8206"
"1288","FBgn0030693","CG8974"
"1289","FBgn0030694","CG15602"
"1290","FBgn0030695","PGRP-LE"
"1291","FBgn0030700","CG15914"
"1292","FBgn0030703","MSBP"
"1293","FBgn0030704","CG15916"
"1294","FBgn0030717","Slc25A46a"
"1295","FBgn0030718","ND-20"
"1296","FBgn0030719","eIF5"
"1297","FBgn0030720","CG8939"
"1298","FBgn0030724","Nipsnap"
"1299","FBgn0030731","Mfe2"
"1300","FBgn0030734","CG9911"
"1301","FBgn0030740","CG9917"
"1302","FBgn0030743","CG9921"
"1303","FBgn0030745","CG4239"
"1304","FBgn0030749","AnxB11"
"1305","FBgn0030752","CDC50"
"1306","FBgn0030759","CG13014"
"1307","FBgn0030761","CG9784"
"1308","FBgn0030763","CG9782"
"1309","FBgn0030769","CG13012"
"1310","FBgn0030788","Sap30"
"1311","FBgn0030789","Rrp45"
"1312","FBgn0030791","CG9132"
"1313","FBgn0030797","CG13004"
"1314","FBgn0030799","CG4872"
"1315","FBgn0030801","Rcp"
"1316","FBgn0030816","CG16700"
"1317","FBgn0030829","CG12998"
"1318","FBgn0030834","CG8675"
"1319","FBgn0030839","CG5613"
"1320","FBgn0030847","CG12991"
"1321","FBgn0030850","stas"
"1322","FBgn0030851","CG8326"
"1323","FBgn0030853","ND-24"
"1324","FBgn0030854","CG8289"
"1325","FBgn0030855","CG5800"
"1326","FBgn0030870","CG6398"
"1327","FBgn0030873","CG15814"
"1328","FBgn0030876","CG6762"
"1329","FBgn0030878","CG6769"
"1330","FBgn0030883","CG7772"
"1331","FBgn0030884","CG6847"
"1332","FBgn0030890","CG7536"
"1333","FBgn0030925","Hayan"
"1334","FBgn0030926","psh"
"1335","FBgn0030927","CG15046"
"1336","FBgn0030930","Pgant7"
"1337","FBgn0030932","Ggt-1"
"1338","FBgn0030941","wgn"
"1339","FBgn0030944","CG6617"
"1340","FBgn0030946","CG6659"
"1341","FBgn0030955","CG6891"
"1342","FBgn0030959","CG6961"
"1343","FBgn0030960","Atg101"
"1344","FBgn0030964","Pvf1"
"1345","FBgn0030968","CG7322"
"1346","FBgn0030974","Flacc"
"1347","FBgn0030976","CG7378"
"1348","FBgn0030985","Obp18a"
"1349","FBgn0030990","CG7556"
"1350","FBgn0030993","Mec2"
"1351","FBgn0030999","Mur18B"
"1352","FBgn0031002","CG14196"
"1353","FBgn0031003","CG7889"
"1354","FBgn0031008","CG8010"
"1355","FBgn0031011","CG8034"
"1356","FBgn0031012","CG8051"
"1357","FBgn0031021","ND-18"
"1358","FBgn0031037","CG14207"
"1359","FBgn0031039","Shawn"
"1360","FBgn0031044","MKP-4"
"1361","FBgn0031048","CG12237"
"1362","FBgn0031049","Sec61gamma"
"1363","FBgn0031050","Arp10"
"1364","FBgn0031055","et"
"1365","FBgn0031057","Ubqn"
"1366","FBgn0031060","CG14231"
"1367","FBgn0031062","CG14230"
"1368","FBgn0031066","COX6B"
"1369","FBgn0031068","Alr"
"1370","FBgn0031069","Pmp70"
"1371","FBgn0031080","CG12655"
"1372","FBgn0031089","CG9572"
"1373","FBgn0031092","CG9577"
"1374","FBgn0031097","obst-A"
"1375","FBgn0031099","CG17065"
"1376","FBgn0031106","Syx16"
"1377","FBgn0031114","cactin"
"1378","FBgn0031115","CG11710"
"1379","FBgn0031143","CG1532"
"1380","FBgn0031145","Ntf-2"
"1381","FBgn0031148","Cbs"
"1382","FBgn0031149","Stt3A"
"1383","FBgn0031150","bves"
"1384","FBgn0031170","ABCA"
"1385","FBgn0031174","CG1486"
"1386","FBgn0031176","whe"
"1387","FBgn0031183","CG14621"
"1388","FBgn0031184","CG14615"
"1389","FBgn0031189","CG14618"
"1390","FBgn0031195","CG17600"
"1391","FBgn0031213","galectin"
"1392","FBgn0031217","CG11377"
"1393","FBgn0031220","CG4822"
"1394","FBgn0031224","CG11454"
"1395","FBgn0031228","ND-15"
"1396","FBgn0031229","CG3436"
"1397","FBgn0031233","Tbc1d15-17"
"1398","FBgn0031238","CG3645"
"1399","FBgn0031244","CG11601"
"1400","FBgn0031245","CG3625"
"1401","FBgn0031247","CG11562"
"1402","FBgn0031250","Ent1"
"1403","FBgn0031253","CG11885"
"1404","FBgn0031256","shv"
"1405","FBgn0031258","CG4297"
"1406","FBgn0031260","Spp"
"1407","FBgn0031261","nAChRbeta3"
"1408","FBgn0031263","Tspo"
"1409","FBgn0031264","CG11835"
"1410","FBgn0031265","CG2794"
"1411","FBgn0031266","Sf3b1"
"1412","FBgn0031268","cold"
"1413","FBgn0031270","CG13689"
"1414","FBgn0031282","Pex12"
"1415","FBgn0031285","CG3662"
"1416","FBgn0031286","CG3862"
"1417","FBgn0031287","CG4291"
"1418","FBgn0031294","IA-2"
"1419","FBgn0031299","CG4629"
"1420","FBgn0031305","Iris"
"1421","FBgn0031306","CG4577"
"1422","FBgn0031307","MFS3"
"1423","FBgn0031313","CG5080"
"1424","FBgn0031315","CG14341"
"1425","FBgn0031318","CG4887"
"1426","FBgn0031319","CG4896"
"1427","FBgn0031320","CG5126"
"1428","FBgn0031321","Tgt"
"1429","FBgn0031322","CG5001"
"1430","FBgn0031327","CG5397"
"1431","FBgn0031344","CG7420"
"1432","FBgn0031359","Rim2"
"1433","FBgn0031360","CG31937"
"1434","FBgn0031361","CG17652"
"1435","FBgn0031373","CG15358"
"1436","FBgn0031374","Wdr62"
"1437","FBgn0031378","CG15362"
"1438","FBgn0031379","CG7289"
"1439","FBgn0031381","Npc2a"
"1440","FBgn0031389","CG4259"
"1441","FBgn0031397","CG15385"
"1442","FBgn0031399","mio"
"1443","FBgn0031401","papi"
"1444","FBgn0031417","CG3597"
"1445","FBgn0031418","CG3609"
"1446","FBgn0031428","CG9886"
"1447","FBgn0031436","ND-B17.2"
"1448","FBgn0031453","Bacc"
"1449","FBgn0031454","HemK2"
"1450","FBgn0031455","Snapin"
"1451","FBgn0031458","aph-1"
"1452","FBgn0031459","HINT1"
"1453","FBgn0031461","daw"
"1454","FBgn0031478","CG8814"
"1455","FBgn0031479","Prx6005"
"1456","FBgn0031485","CG9643"
"1457","FBgn0031491","alpha4GT1"
"1458","FBgn0031492","CG3542"
"1459","FBgn0031493","Sf3b2"
"1460","FBgn0031495","GABPI"
"1461","FBgn0031498","CG17260"
"1462","FBgn0031500","CG17221"
"1463","FBgn0031505","ND-B14.5B"
"1464","FBgn0031515","CG9664"
"1465","FBgn0031516","CG9663"
"1466","FBgn0031517","CG15406"
"1467","FBgn0031522","CG3285"
"1468","FBgn0031523","CG15408"
"1469","FBgn0031534","Snx1"
"1470","FBgn0031535","CG12795"
"1471","FBgn0031538","CG3246"
"1472","FBgn0031544","CG17593"
"1473","FBgn0031558","CG16704"
"1474","FBgn0031559","CG3513"
"1475","FBgn0031560","CG16713"
"1476","FBgn0031561","IM33"
"1477","FBgn0031562","CG3604"
"1478","FBgn0031563","CG10031"
"1479","FBgn0031564","CG2816"
"1480","FBgn0031566","CG2818"
"1481","FBgn0031589","Naprt"
"1482","FBgn0031590","CG3702"
"1483","FBgn0031600","CG3652"
"1484","FBgn0031601","Dim1"
"1485","FBgn0031603","CG15432"
"1486","FBgn0031604","Elp3"
"1487","FBgn0031607","Secp43"
"1488","FBgn0031611","FIG4"
"1489","FBgn0031630","CG15629"
"1490","FBgn0031633","Fnta"
"1491","FBgn0031636","CG12194"
"1492","FBgn0031637","mxt"
"1493","FBgn0031639","mRpS2"
"1494","FBgn0031640","Mon1"
"1495","FBgn0031643","CG3008"
"1496","FBgn0031645","CG3036"
"1497","FBgn0031651","mRpL24"
"1498","FBgn0031652","jet"
"1499","FBgn0031657","CG3756"
"1500","FBgn0031660","mRpL28"
"1501","FBgn0031662","CG3792"
"1502","FBgn0031663","CG8891"
"1503","FBgn0031670","SelT"
"1504","FBgn0031673","CG31650"
"1505","FBgn0031676","senju"
"1506","FBgn0031683","CG4230"
"1507","FBgn0031684","ND-13A"
"1508","FBgn0031689","Cyp28d1"
"1509","FBgn0031692","TpnC25D"
"1510","FBgn0031693","Cyp4ac1"
"1511","FBgn0031694","Cyp4ac2"
"1512","FBgn0031700","CG14022"
"1513","FBgn0031701","TotM"
"1514","FBgn0031702","fusl"
"1515","FBgn0031703","CG12512"
"1516","FBgn0031708","CG7382"
"1517","FBgn0031710","Vps52"
"1518","FBgn0031713","Coq6"
"1519","FBgn0031734","CG11147"
"1520","FBgn0031736","CG11030"
"1521","FBgn0031737","obst-E"
"1522","FBgn0031752","CG9044"
"1523","FBgn0031764","CG9107"
"1524","FBgn0031768","IPIP"
"1525","FBgn0031771","ND-51"
"1526","FBgn0031772","CG13994"
"1527","FBgn0031773","Fbw5"
"1528","FBgn0031774","CG9147"
"1529","FBgn0031776","Pfdn1"
"1530","FBgn0031777","CG9154"
"1531","FBgn0031779","CG9175"
"1532","FBgn0031801","CG9498"
"1533","FBgn0031805","Nepl4"
"1534","FBgn0031813","CG9527"
"1535","FBgn0031814","retm"
"1536","FBgn0031815","frj"
"1537","FBgn0031821","KFase"
"1538","FBgn0031824","CG9547"
"1539","FBgn0031830","COX5B"
"1540","FBgn0031832","CG9596"
"1541","FBgn0031836","CG11050"
"1542","FBgn0031850","Tsp"
"1543","FBgn0031851","Aatf"
"1544","FBgn0031857","LUBEL"
"1545","FBgn0031860","CG11236"
"1546","FBgn0031868","Rat1"
"1547","FBgn0031869","CG18304"
"1548","FBgn0031873","Gas41"
"1549","FBgn0031876","Atac1"
"1550","FBgn0031877","Hmgcl"
"1551","FBgn0031879","uif"
"1552","FBgn0031881","MME1"
"1553","FBgn0031893","MICU1"
"1554","FBgn0031897","CG13784"
"1555","FBgn0031904","CG5149"
"1556","FBgn0031907","CG5171"
"1557","FBgn0031908","CG5177"
"1558","FBgn0031909","CG5181"
"1559","FBgn0031913","CG5958"
"1560","FBgn0031914","CG5973"
"1561","FBgn0031935","CG13793"
"1562","FBgn0031936","CG13794"
"1563","FBgn0031937","CG13795"
"1564","FBgn0031939","CG13796"
"1565","FBgn0031942","CG7203"
"1566","FBgn0031948","CG7149"
"1567","FBgn0031950","Herp"
"1568","FBgn0031951","r2d2"
"1569","FBgn0031952","cdc14"
"1570","FBgn0031968","CG7231"
"1571","FBgn0031970","CG7227"
"1572","FBgn0031971","Sirup"
"1573","FBgn0031972","Wwox"
"1574","FBgn0031973","Spn28Dc"
"1575","FBgn0031975","Tg"
"1576","FBgn0031977","baf"
"1577","FBgn0031980","RpL36A"
"1578","FBgn0031985","mon2"
"1579","FBgn0031987","CG12375"
"1580","FBgn0031990","PAPLA1"
"1581","FBgn0031995","CG8475"
"1582","FBgn0031996","CG8460"
"1583","FBgn0031997","PGAP5"
"1584","FBgn0031998","SLC5A11"
"1585","FBgn0032000","CG8372"
"1586","FBgn0032001","CG8360"
"1587","FBgn0032002","CG8353"
"1588","FBgn0032006","Pvr"
"1589","FBgn0032010","CG8086"
