"","geneid","gene_name","int_25C","cos_25C","sin_25C","decaycos","decaysin","decayint","cos_18C","sin_18C","lambda","pval_cycle_25C","pval_cycle_18C","pval_cycle_diff","pval_phase_diff","pval_amp_diff","pval_median_diff","small_tpm","nboot","niter","convergence"
"16293","FBgn0266621","lncRNA:CR45128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16294","FBgn0266622","asRNA:CR45129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16295","FBgn0266623","asRNA:CR45130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16296","FBgn0266624","asRNA:CR45131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16297","FBgn0266625","asRNA:CR45132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16298","FBgn0266626","asRNA:CR45133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16299","FBgn0266627","asRNA:CR45134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16300","FBgn0266628","asRNA:CR45135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16301","FBgn0266629","asRNA:CR45136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16302","FBgn0266630","asRNA:CR45137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16303","FBgn0266631","lncRNA:CR45138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16304","FBgn0266632","asRNA:CR45139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16305","FBgn0266633","asRNA:CR45140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16306","FBgn0266634","asRNA:CR45141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16307","FBgn0266635","asRNA:CR45142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16308","FBgn0266636","asRNA:CR45143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16309","FBgn0266637","asRNA:CR45144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16310","FBgn0266638","asRNA:CR45145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16311","FBgn0266639","asRNA:CR45146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16312","FBgn0266640","lncRNA:CR45147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16313","FBgn0266641","lncRNA:CR45148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16314","FBgn0266642","asRNA:CR45149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16315","FBgn0266643","lncRNA:CR45150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16316","FBgn0266644","asRNA:CR45151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16317","FBgn0266645","asRNA:CR45152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16318","FBgn0266646","lncRNA:CR45153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16319","FBgn0266647","CG45154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16320","FBgn0266648","lncRNA:CR45155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
