"","geneid","genename","geneindex","pval_cycle_25C","pval_cycle_18C","pval_cycle_diff","pval_phase_diff","pval_amp_diff","pval_median_diff","type","model","TRUE_lambda","typematch","TransSig","dAICc","nextmodel"
"32","FBgn0000567","Eip74EF",62,0.092,0,0.029,0.06,0.408,0.008,8,"08p",Inf,1,0,0.618060036229679,"14p"
"418","FBgn0034503","MED8",2174,0.18,0.031,0.025,0.1,0.092,0.13,7,"07p",Inf,1,0,0.133468101552182,"08p"
"463","FBgn0036126","Irbp18",2511,0.628,0,0.003,0.92,0.436,0.158,7,"07p",Inf,1,0,1.46992217252006,"02f"
"16","FBgn0000286","Cf2",33,0.58,0.079,0.281,0.358,0.926,0.002,2,"02p",Inf,1,0,0.54954867923658,"14p"
"62","FBgn0001291","Jra",109,0.5,0.096,0.38,0.396,0.364,0,2,"02p",Inf,1,0,0.395037558246258,"14p"
"353","FBgn0030788","Sap30",1309,0.085,0.782,0.513,0.614,0.938,0,2,"02p",Inf,1,0,1.17140092541638,"02f"
"469","FBgn0036318","Wbp2",2552,0.918,0.063,0.792,0.876,0.86,0.048,2,"02p",Inf,1,0,2.65617706174203,"12p"
"655","FBgn0260632","dl",4091,0.54,0.947,0.977,0.896,0.526,0,2,"02p",Inf,1,0,2.16936433255557,"02f"
"449","FBgn0035625","Blimp-1",2421,0.956,0.467,0.723,0.808,0.85,0.46,1,"01p",0,1,0,0.772897779923142,"07p"
"454","FBgn0035702","CG10147",2432,0.845,0.438,0.334,0.916,0.472,0.094,1,"01p",0,1,0,0.970467572900759,"02p"
"638","FBgn0085354","CG34325",3930,0.223,0.536,0.285,0.472,0.768,0.528,1,"01p",0,1,0,0.670584402104396,"11p"
"339","FBgn0030316","CG11695",1202,0.028,0.01,0.001,0.074,0.242,0,16,"08f",1.0214121400495,0,1,2.72663181987048,"16f"
"318","FBgn0029504","CHES-1-like",1063,0.007,0,0.025,0.5,0.006,0,16,"14f",1.00305207935796,0,1,0.532008817664121,"14p"
"67","FBgn0001324","kto",113,0.217,0.506,0.373,0.42,0.704,0.188,1,"07f",1.00300350948337,0,1,0.392275683153287,"13f"
"452","FBgn0035690","CG10274",2429,0.356,0.003,0.056,0.18,0.028,0.028,6,"08f",1.00131364989503,0,1,1.15873291182643,"07f"
"695","FBgn0263593","Lpin",4310,0.239,0.218,0.968,0.824,0.924,0.026,2,"14f",0.879980981644033,0,1,0.755148918339273,"08f"
"536","FBgn0038578","MED17",3058,0.919,0.005,0.066,0.726,0.142,0.372,5,"07f",0.850319484740173,0,1,1.51892997203788,"08f"
"660","FBgn0261283","SREBP",4152,0.048,0.129,0.184,0.092,0.388,0.762,9,"13f",0.846835923946988,0,1,1.03212748346721,"11f"
"555","FBgn0039209","REPTOR",3212,0.026,0.317,0.356,0.712,0.312,0.286,9,"13f",0.761270091901739,0,1,1.55210752849825,"14f"
"663","FBgn0261573","CoRest",4189,0.383,0.058,0.456,0.476,0.252,0.606,1,"07f",0.727899971460839,0,1,1.11684745538076,"01f"
"204","FBgn0011763","Dp",409,0,0.057,0.004,0.306,0.14,0,12,"02f",0.61060829162351,0,1,0.450970018335738,"08f"
"707","FBgn0265276","l(3)neo38",4387,0.002,0.142,0.394,0.378,0.772,0.012,10,"14f",0.579139375349345,0,1,4.07907598301148,"02f"
"1","FBgn0000014","abd-A",2,0,0.039,0,0.124,0.188,0.102,15,"11f",0.523243913944541,0,1,1.29808442314555,"01p"
"479","FBgn0036827","CG6843",2649,0.018,0.058,0.24,0.108,0.462,0.024,10,"08f",0.498496059835228,0,1,1.21997826630945,"02f"
"442","FBgn0035213","CG2199",2326,0.895,0.223,0.547,0.824,0.28,0.692,1,"07f",0.489768655551123,0,1,0.745193865592967,"01f"
"328","FBgn0030003","CG2116",1143,0.095,0.228,0.275,0.166,0.12,0.886,1,"14f",0.458840107338959,0,1,0.156434230337595,"01f"
"389","FBgn0032925","CG9246",1807,0.008,0.601,0.995,0.996,0.956,0.836,9,"13f",0.371788386685386,0,1,0.718498263795084,"01f"
"668","FBgn0261648","salm",4199,0.225,0.244,0.291,0.3,0.794,0,2,"16f",0.369842956944029,0,1,0.892323479182096,"08f"
"615","FBgn0051865","Ada1-1",3710,0.009,0.307,0.752,0.572,0.596,0.274,9,"13f",0.309828709874405,0,1,0.480029706723712,"14f"
"726","FBgn0285954","caz",4559,0.001,0,0.008,0,0.828,0.138,15,"16f",0.307874635013389,0,1,1.56069407307791,"16p"
"491","FBgn0037446","Zif",2800,0.054,0.664,0.547,0.696,0.526,0.142,1,"12f",0.279933400226194,0,1,0.511066369964226,"11f"
"187","FBgn0010417","Taf6",344,0.831,0.035,0.09,0.586,0.068,0,6,"08f",0.277109470138155,0,1,4.44232229708388,"16f"
"89","FBgn0002914","Myb",148,0.376,0.083,0.153,0.2,0.086,0.18,1,"08f",0.251383841354371,0,1,0.616769615136434,"08p"
"278","FBgn0024371","E2f2",741,0.114,0.131,0.509,0.956,0.244,0.712,1,"14f",0.24685531513403,0,1,0.659150537722724,"07f"
"546","FBgn0038787","CG4360",3103,0,0.494,0.18,0.286,0.802,0.004,10,"12f",0.219829856642752,0,1,0.271044057074334,"16f"
"309","FBgn0028550","Atf3",1003,0.18,0.168,0.122,0.232,0.528,0,2,"08f",0.189128376472659,0,1,1.68546190341857,"16f"
"440","FBgn0035149","MED30",2308,0.022,0.005,0.004,0.538,0.714,0.348,15,"11f",0.18534346379068,0,1,0.00518575603302907,"07f"
"563","FBgn0039509","bigmax",3274,0.023,0.226,0.133,0.198,0.244,0,10,"14f",0.160948781029132,0,1,0.789691027260801,"12f"
"121","FBgn0003567","su(Hw)",206,0.61,0,0,0.314,0,0.116,7,"08f",0.160768178354964,0,1,1.81089129951147,"07f"
"69","FBgn0001341","Mybbp1A",114,0.023,0.062,0.495,0.622,0.17,0,10,"14f",0.159714458086001,0,1,2.81712079735343,"08f"
"421","FBgn0034537","DMAP1",2184,0.044,0.502,0.871,0.81,0.43,0.022,10,"02f",0.158969656404676,0,1,2.51338778864573,"14f"
"387","FBgn0032816","Nf-YB",1775,0.812,0.164,0.38,0.706,0.226,0.012,2,"08f",0.130631854424406,0,1,0.413644373092268,"01f"
"109","FBgn0003345","sd",187,0.341,0.02,0.005,0.806,0.076,0,8,"02f",0.129711834037042,0,1,0.166227776925609,"02p"
"347","FBgn0030539","CG1368",1253,0.007,0.012,0.023,0.856,0,0,16,"12f",0.100121772971098,0,1,3.57135879880218,"16f"
"579","FBgn0040078","pont",3407,0.017,0.431,0.644,0.382,0.254,0.258,9,"01f",0.0987445399842356,0,1,0.306722446468541,"13f"
"372","FBgn0032169","CG4709",1626,0.779,0.086,0.184,0.546,0.038,0.166,1,"08f",0.0984352793742524,0,1,3.44422301955018,"07f"
"608","FBgn0051390","MED7",3673,0.055,0,0,0.492,0,0.008,8,"07f",0.0708452473093106,0,1,0.343160326990585,"08f"
"715","FBgn0267336","Glut4EF",4470,0.021,0.125,0.071,0.144,0.722,0.096,9,"01f",0.0700454712536452,0,1,0.646183489087889,"02f"
"661","FBgn0261381","mtTFB1",4161,0.601,0.07,0.427,0.662,0.254,0.216,1,"07f",0.0507938188304348,0,1,0.25315536641682,"01f"
"360","FBgn0031115","CG11710",1377,0.777,0.028,0.083,0.548,0.054,0,6,"08f",0.050461595313118,0,1,2.73967457972401,"02f"
"275","FBgn0024291","Sirt1",734,0.429,0.004,0.102,0.468,0.17,0.004,6,"08f",0.0493917436262099,0,1,1.78786793898155,"14f"
"603","FBgn0050431","CG30431",3621,0.06,0.085,0.038,0.104,0.87,0.07,3,"13f",0.0483453582807397,0,1,1.33169978923706,"12f"
"688","FBgn0263112","Mitf",4284,0.083,0.171,0.09,0.292,0.258,0,2,"08f",0.0401457979941418,0,1,2.51446197423292,"16f"
"258","FBgn0022699","D19B",679,0.006,0.043,0.294,0.114,0.632,0,14,"12f",0.0398944769446553,0,1,1.38756134833847,"02f"
"625","FBgn0052732","Setd3",3795,0.326,0.018,0.137,0.616,0.01,0,6,"08f",0.0398642217043208,0,1,1.47653850285332,"02f"
"146","FBgn0004597","CycC",259,0.138,0.43,0.246,0.842,0.444,0.354,1,"11f",0.0395928538197051,0,1,0.20184736062032,"01f"
"727","FBgn0285971","prg",4565,0.822,0.021,0.201,0.768,0.132,0.53,5,"07f",0.0382784104932563,0,1,0.728349343917728,"08f"
"41","FBgn0000618","e(y)2",68,0.821,0.131,0.219,0.788,0.816,0.168,1,"02f",0.0377171719946346,0,1,1.83341309399196,"01f"
"390","FBgn0032940","Mondo",1809,0.039,0.025,0.046,0.042,0.486,0,16,"08f",0.0365758343774596,0,1,1.41064687036965,"14f"
"457","FBgn0035849","ERR",2459,0.001,0.59,0.131,0.404,0.334,0.566,9,"13f",0.0363348104086997,0,1,0.0340542171395555,"11f"
"273","FBgn0024251","bbx",731,0.388,0.064,0.044,0.48,0.46,0,4,"02f",0.0348443806523216,0,1,0.376431513976172,"08f"
"179","FBgn0005659","Ets98B",302,0.052,0.038,0.039,0.03,0.396,0.322,7,"01f",0.0348063174789828,0,1,1.70448066569531,"07f"
"53","FBgn0001168","h",89,0.133,0.011,0.967,0.824,0.776,0,6,"14f",0.033655882908944,0,1,2.5531398051661,"08f"
"170","FBgn0005427","ewg",295,0.031,0.051,0.063,0.074,0.226,0.024,10,"16f",0.0333025890726424,0,1,0.280630892407089,"08f"
"379","FBgn0032429","CG5446",1693,0.074,0.152,0.314,0.186,0.406,0,2,"14f",0.03,0,1,2.64360198908355,"16f"
"39","FBgn0000611","exd",67,0.225,0.021,0.172,0.142,0.604,0,6,"08f",0.03,0,1,0.206397214282561,"02f"
"209","FBgn0013746","alien",451,0.414,0.394,0.282,0.372,0.22,0,2,"08f",0.03,0,1,3.30900613922728,"16f"
"293","FBgn0026160","tna",833,0.787,0.016,0.325,0.466,0.44,0,6,"08f",0.03,0,1,0.0495461454032693,"02f"
"723","FBgn0284249","Adf1",4540,0.186,0,0.003,0.178,0.012,0.042,8,"07f",0.03,0,1,0.455598999716472,"08f"
"34","FBgn0000575","emc",64,0.068,0.086,0.905,0.858,0.436,0.682,1,"02f",0.03,0,1,0.0301371018747432,"13f"
"680","FBgn0262160","CG9932",4234,0.004,0,0.211,0.1,0.282,0.002,14,"16p",Inf,0,0,0.432245868105838,"14f"
"57","FBgn0001185","her",91,0.037,0.106,0.598,0.39,0.84,0.004,10,"14p",Inf,0,0,0.016557879223285,"02p"
"130","FBgn0003944","Ubx",221,0,0.408,0.385,0.552,0.452,0,10,"14p",Inf,0,0,4.5415167895419,"08p"
"156","FBgn0004859","ci",277,0.662,0.629,0.902,0.772,0.9,0,2,"14p",Inf,0,0,2.68045673562852,"02f"
"211","FBgn0013753","Bgb",454,0.023,0.219,0.899,0.772,0.992,0,10,"14p",Inf,0,0,0.640203604127692,"14f"
"257","FBgn0022361","Pur-alpha",677,0.062,0.577,0.521,0.462,0.874,0,2,"14p",Inf,0,0,0.348538372045709,"02p"
"511","FBgn0037877","CG6689",2914,0.007,0.148,0.937,0.774,0.738,0,10,"14p",Inf,0,0,5.66614052274747,"14f"
"575","FBgn0039938","Sox102F",3389,0.141,0.259,0.477,0.318,0.98,0,2,"14p",Inf,0,0,1.50599978748187,"02p"
"123","FBgn0003651","svp",209,0.016,0.431,0.23,0.234,0.596,0.33,9,"12p",Inf,0,0,0.855006515668151,"11p"
"375","FBgn0032209","Hand",1637,0.058,0.921,0.136,0.882,0.172,0.132,1,"12p",Inf,0,0,2.40985290154538,"16p"
"455","FBgn0035754","MED4",2440,0.011,0.354,0.223,0.32,0.334,0.274,9,"12p",Inf,0,0,0.138786829680043,"11p"
"600","FBgn0050011","gem",3577,0.096,0.725,0.069,0.774,0.316,0.004,2,"12p",Inf,0,0,2.55366075723919,"02p"
"44","FBgn0000964","tj",74,0.006,0.825,0.573,0.584,0.94,0.092,9,"11p",Inf,0,0,1.27473235289568,"14f"
"169","FBgn0004914","Hnf4",287,0.163,0.061,0.03,0.246,0.364,0.936,3,"11p",Inf,0,0,0.789146355468233,"01p"
