"","geneid","gene_name","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1","FBgn0000003","7SLRNA:CR32864",100.33,28.77,NA,NA,NA,NA,NA,NA,NA
"2","FBgn0000008","a",5.100376759909,-0.0163660121503736,1.03605336939554,-3.32588742981958,0.03,NA,NA,NA,NA
"3","FBgn0000014","abd-A",19.4209651263187,-4.01807258294608,0.728739737930897,-55.4194498559479,-30.3403899157976,0.523243913944541,NA,NA,NA
"4","FBgn0000015","Abd-B",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","FBgn0000017","Abl",5.62885841759138,-1.38151043811677,1.17823084299478,-4.74231170333111,2.60954341115482,-0.493078311133195,0.0402108872408274,NA,NA
"6","FBgn0000018","abo",11.7599999993076,1.14031561794742,0.669466828417045,-3.43627258513398,0.9814891883819,-0.745526452056083,0.03,NA,NA
"7","FBgn0000022","ac",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","FBgn0000024","Ace",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","FBgn0000028","acj6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","FBgn0000032","Acph-1",18.65,1.72,NA,NA,NA,NA,NA,NA,NA
"11","FBgn0000036","nAChRalpha1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","FBgn0000037","mAChR-A",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","FBgn0000038","nAChRbeta1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","FBgn0000039","nAChRalpha2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","FBgn0000042","Act5C",498.273306811604,200.786565325195,1181.78717707341,-401.877427490401,0.1948218395956,NA,NA,NA,NA
"16","FBgn0000043","Act42A",57.06,13.67,NA,NA,NA,NA,NA,NA,NA
"17","FBgn0000044","Act57B",1441.93532172829,187.440635274688,62.1053026177117,-50.9324221548172,216.783541382574,831.625524851139,-472.210425760947,-38.4787168455658,0.03
"18","FBgn0000045","Act79B",42.8118002634647,-17.6047775602401,-7.79520361601278,49.3351504590444,0.0314212202094698,NA,NA,NA,NA
"19","FBgn0000046","Act87E",364.050091119174,41.950737744829,36.3022502198277,-128.032753493166,16.6209881476694,326.66598335576,0.03,NA,NA
"20","FBgn0000047","Act88F",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","FBgn0000052","Pfas",70.8478811646826,14.3188659211583,-9.28508012140358,-39.874744350439,0.03,NA,NA,NA,NA
"22","FBgn0000053","Gart",98.9124434156251,25.0982237254506,-61.7942789947376,-69.2406708439551,-23.2775191601301,17.8591888320495,0.0329622365716081,NA,NA
"23","FBgn0000055","Adh",3772.02153931623,-526.038340154702,323.321576754227,225.910735957045,-1615.55382984067,-525.013798479938,0.0392294907503539,NA,NA
"24","FBgn0000056","Adhr",23.0808308344628,5.93086501897441,-17.1689047213116,-6.45369878667876,-9.57021032844015,6.18613513684783,0.0371261012142296,NA,NA
"25","FBgn0000057","adp",24.315,1.64677857925749,0.602304168090069,3.52911071037125,-0.508193457718831,NA,NA,NA,NA
"26","FBgn0000061","al",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","FBgn0000063","Mps1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","FBgn0000064","Ald1",955.555,99.0649999999999,48.0350000000001,NA,NA,NA,NA,NA,NA
"29","FBgn0000071","Ama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","FBgn0000075","amd",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","FBgn0000077","amx",18.8105336502313,12.805195971497,0.690147517157612,-11.3746623211778,0.249636640739201,NA,NA,NA,NA
"32","FBgn0000078","Amy-d",20.6428970767396,10.0791854997787,-2.18068991788671,-48.6114493569757,0.03,NA,NA,NA,NA
"33","FBgn0000079","Amy-p",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","FBgn0000083","AnxB9",301.76,52.77,NA,NA,NA,NA,NA,NA,NA
"35","FBgn0000084","AnxB10",178.571762186145,5.37819908526872,2.54374178687056,69.4438870104428,-125.77607064121,-103.577910964684,0.400565440677116,NA,NA
"36","FBgn0000092","dyw",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","FBgn0000094","Anp",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","FBgn0000097","aop",15.19,3.62,NA,NA,NA,NA,NA,NA,NA
"39","FBgn0000100","RpLP0",2597.84449092522,-20.3785004958853,16.7039005836787,696.207380560596,0.03,NA,NA,NA,NA
"40","FBgn0000108","Appl",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","FBgn0000109","Aprt",73.0411906575426,7.20296896707286,-1.46295301263678,21.4378464191179,11.8407619568784,-16.836655434027,-14.8643901496491,-0.9159806555827,0.0396423309798897
"42","FBgn0000114","bru1",26.48,NA,NA,NA,NA,NA,NA,NA,NA
"43","FBgn0000115","Arl1",65.6857181922669,9.60580265465312,8.06813234654327,-20.3487125703195,0.03,NA,NA,NA,NA
"44","FBgn0000116","Argk",493.778264316714,29.5317356832856,9.70826431671431,-152.01,NA,NA,NA,NA,NA
"45","FBgn0000117","arm",110.431979711033,5.39501785601163,-4.13969356090752,159.740977612276,-173.512868562827,-166.825885524812,0.521461429782574,NA,NA
"46","FBgn0000119","arr",8,-0.360140831103239,-0.40406387955737,NA,NA,NA,NA,NA,NA
"47","FBgn0000120","Arr1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","FBgn0000121","Arr2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","FBgn0000137","ase",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","FBgn0000139","ash2",55.4901810934952,3.7713475591577,-1.92726145965044,-36.3834777000804,-33.2057102414846,64.7823113010997,0.251766578750879,NA,NA
"51","FBgn0000140","asp",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","FBgn0000146","aub",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","FBgn0000147","aurA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","FBgn0000150","awd",1974.50406702538,251.358447980178,405.584888316704,-871.901181844602,-166.766880973805,-120.465997708093,0.03,NA,NA
"55","FBgn0000152","Axs",9.3,1.23999999999999,NA,NA,NA,NA,NA,NA,NA
"56","FBgn0000153","b",8.9983129169475,-0.38975819104497,1.21168742856231,1.28233688448123,-5.16656986763484,0.0399487781200311,NA,NA,NA
"57","FBgn0000157","Dll",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","FBgn0000158","bam",NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","FBgn0000163","baz",13.0464373490715,-1.55149475625391,1.8845606209204,0.825356454361619,-0.392352972094364,-5.91507079303779,0.040216651895332,NA,NA
"60","FBgn0000166","bcd",NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","FBgn0000173","ben",148.31,NA,NA,NA,NA,NA,NA,NA,NA
"62","FBgn0000179","bi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","FBgn0000180","bib",NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","FBgn0000181","bic",737.72776108707,30.3080023811093,1.18499999999992,-115.86276108707,NA,NA,NA,NA,NA
"65","FBgn0000182","BicC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","FBgn0000183","BicD",25.2,NA,NA,NA,NA,NA,NA,NA,NA
"67","FBgn0000206","boss",NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","FBgn0000212","brm",18.8539438205372,-1.96778116292763,0.138601554305269,0.699347576773935,-0.15273671361566,-5.92850527319839,-0.32397606004112,0.0353131963871369,NA
"69","FBgn0000216","Brd",NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","FBgn0000221","brn",6.0939465768471,17.6155870602154,-1.47186424552548,-18.5627310594354,0.236053424239381,0.310210671347534,NA,NA,NA
"71","FBgn0000227","Bsg25A",NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","FBgn0000228","Bsg25D",15.46,-2.34,NA,NA,NA,NA,NA,NA,NA
"73","FBgn0000229","bsk",26.8603438360374,50.0710027141414,-16.2484138191811,-55.9279954038657,0.491579900570389,NA,NA,NA,NA
"74","FBgn0000233","btd",NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","FBgn0000239","bur",77.6080275824492,2.82197241755081,-4.24802758244919,11.7398860111534,NA,NA,NA,NA,NA
"76","FBgn0000241","bw",NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","FBgn0000244","by",60.12,-4.72,NA,NA,NA,NA,NA,NA,NA
"78","FBgn0000246","c(3)G",NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","FBgn0000247","ca",15.1959666379651,0.00885268031533079,-0.795443943239218,23.5922411087446,-22.5036604136628,0.581055843423664,NA,NA,NA
"80","FBgn0000250","cact",119.423292249272,5004.77325967553,2155.91351461852,-5021.23955739775,1.01081967795253,NA,NA,NA,NA
"81","FBgn0000251","cad",4.37,1.95,NA,NA,NA,NA,NA,NA,NA
"82","FBgn0000253","Cam",138.235929370415,-1141.57369591233,-263.865487439775,1077.5706947031,0.404042093623991,NA,NA,NA,NA
"83","FBgn0000256","capu",17.73,1.35677313259562,1.31,-5.1761067126598,NA,NA,NA,NA,NA
"84","FBgn0000257","car",11.0286612743507,32.3190107127807,-25.8597397635816,-33.833345111828,-0.00178252952568974,0.607731559409489,NA,NA,NA
"85","FBgn0000259","CkIIbeta",48.45,5.08,NA,NA,NA,NA,NA,NA,NA
"86","FBgn0000261","Cat",2538.635,-222.915,5.995782545534,NA,NA,NA,NA,NA,NA
"87","FBgn0000273","Pka-C1",16.6526913175102,-64.1160807120509,-16.6097459870627,58.837583568144,1.90037945170004,0.521767137850661,0.306525675397788,NA,NA
"88","FBgn0000274","Pka-C2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","FBgn0000276","CecA1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","FBgn0000277","CecA2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","FBgn0000278","CecB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","FBgn0000279","CecC",7.07,-4.97685949708013,4.31314050291988,NA,NA,NA,NA,NA,NA
"93","FBgn0000280","Cec-Psi1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","FBgn0000281","Cec2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","FBgn0000283","Cp190",29.3506807770925,-3.32944717746212,3.19005128940496,-6.12298324802743,4.95777125077525,-2.28498330896452,0.0379615806217084,NA,NA
"96","FBgn0000286","Cf2",26.49,3.27,NA,NA,NA,NA,NA,NA,NA
"97","FBgn0000287","salr",NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","FBgn0000289","cg",30.2090053418458,-272.852661615243,-122.124751872638,256.29383378517,8.98346347289814,-3.25100057281941,0.503937925955978,NA,NA
