"","x"
"1","FBgn0003941"
"2","FBgn0028689"
"3","FBgn0004066"
"4","FBgn0261396"
"5","FBgn0002787"
"6","FBgn0028691"
"7","FBgn0028688"
"8","FBgn0028684"
"9","FBgn0028686"
"10","FBgn0250746"
"11","FBgn0026380"
"12","FBgn0041100"
"13","FBgn0011217"
"14","FBgn0000008"
"15","FBgn0263316"
"16","FBgn0032026"
"17","FBgn0032216"
"18","FBgn0031936"
"19","FBgn0024957"
"20","FBgn0027524"
"21","FBgn0037020"
"22","FBgn0014396"
"23","FBgn0003068"
"24","FBgn0023076"
