"geneid","Phase25C","Phase18C","Response","Phase_proj","PhaseRight_proj","color","phaseorder"
"FBgn0000109",23.2346103326648,13.1499996170207,0.51602541457023,47.2346103326648,37.1499996170207,"D",112
"FBgn0000239",20.790411707477,19.8283522598778,0.692448498639784,44.790411707477,43.8283522598778,"ND",83
"FBgn0001124",7.07303454610034,9.76802636833183,-0.298289128565327,31.0730345461003,33.7680263683318,"D",144
"FBgn0001189",15.9905324094641,18.1174059843894,0.421164099743896,39.9905324094641,42.1174059843894,"ND",90
"FBgn0001989",1.80743373013081,11.6823008173415,-0.437927727188653,25.8074337301308,35.6823008173415,"D",122
"FBgn0002787",12.6920290535389,22.7950573978936,0.478628602143019,36.6920290535389,46.7950573978936,"D",21
"FBgn0003048",15.4651961421388,21.7549843457542,0.550840853662209,39.4651961421388,45.7549843457542,"D",45
"FBgn0003068",14.8373877271646,11.4640107279064,0.0958916022946252,38.8373877271646,35.4640107279064,"D",123
"FBgn0003231",12.9519992137209,21.6011230773214,0.439713428793429,36.9519992137209,45.6011230773214,"D",49
"FBgn0003353",17.7602845671697,18.3256221778786,0.503579447710346,41.7602845671697,42.3256221778786,"ND",88
"FBgn0003444",14.46092689703,20.2903472357618,0.44796975553299,38.46092689703,44.2903472357618,"D",81
"FBgn0003656",15.3385798366774,13.3271226757056,0.194404271349294,39.3385798366774,37.3271226757056,"D",111
"FBgn0003867",20.2399740790182,10.2765512891028,0.271521890338372,44.2399740790182,34.2765512891028,"D",133
"FBgn0003941",9.54418538444424,23.2660704623446,0.367093993616203,33.5441853844442,47.2660704623446,"D",10
"FBgn0004057",8.02400136961132,8.59164625461529,-0.307681348990558,32.0240013696113,32.5916462546153,"ND",157
"FBgn0004369",23.4639518217151,21.1597251064747,0.859319872007911,47.4639518217151,45.1597251064747,"ND",68
"FBgn0004797",22.7331220052719,22.9444318529424,0.903231410758929,46.7331220052719,46.9444318529424,"ND",18
"FBgn0004811",13.4478469057506,18.2531371341733,0.320874334996832,37.4478469057506,42.2531371341733,"ND",89
"FBgn0005411",21.4301661268342,0.5911738862926,-0.0824441661197168,45.4301661268342,24.5911738862926,"ND",202
"FBgn0010051",14.2365295967372,13.0825400818059,0.138294569939296,38.2365295967372,37.0825400818059,"ND",114
"FBgn0010548",10.9194734404947,11.2391642003226,-0.0767234316326135,34.9194734404947,35.2391642003226,"ND",125
"FBgn0011296",5.89004537802482,13.405388327529,-0.196023595601922,29.8900453780248,37.4053883275291,"D",109
"FBgn0011708",17.6900989428456,1.52466842434591,-0.199384693033688,41.6900989428456,25.5246684243459,"D",193
"FBgn0011760",20.4009241594253,0.528064573715707,-0.12795880278579,44.4009241594253,24.5280645737157,"D",205
"FBgn0014396",16.8096650387861,12.3224401708373,0.213837717067638,40.8096650387861,36.3224401708373,"D",119
"FBgn0015794",0.657850335013878,3.09179264448448,-0.843764875854235,24.6578503350139,27.0917926444845,"ND",183
"FBgn0016076",14.8320380517548,10.1384040643414,0.0404350881706754,38.8320380517548,34.1384040643414,"D",136
"FBgn0016675",11.6638204678356,7.17376142060825,-0.215100754648172,35.6638204678356,31.1737614206082,"D",165
"FBgn0019938",22.1301210975878,22.4311490329243,0.856719588771336,46.1301210975878,46.4311490329243,"ND",29
"FBgn0020300",1.69780815006089,20.5721393162446,-0.0720855222372703,25.6978081500609,44.5721393162446,"D",74
"FBgn0022709",5.77552042792785,6.53976907173559,-0.486862937514024,29.7755204279278,30.5397690717356,"ND",167
"FBgn0022770",7.16728122122207,9.00886836270132,-0.325993767336525,31.1672812212221,33.0088683627013,"ND",155
"FBgn0023076",4.12023363634791,0.354347998045587,-0.813559098566938,28.1202336363479,24.3543479980456,"D",212
"FBgn0023213",19.0693115502375,23.3305171037249,0.766659527248433,43.0693115502375,47.3305171037249,"D",9
"FBgn0023537",3.5793639825762,3.31987322402089,-0.712531783058455,27.5793639825762,27.3198732240209,"ND",178
"FBgn0024804",8.90858505222306,0.649372908097584,-0.601751751653306,32.9085850522231,24.6493729080976,"D",201
"FBgn0025720",4.57302019133821,21.4460038493188,0.0841260016940419,28.5730201913382,45.4460038493188,"D",57
"FBgn0025741",13.3307568983983,21.3576427527318,0.445349985463754,37.3307568983983,45.3576427527318,"D",63
"FBgn0027080",23.1219658919259,0.424335591132858,-0.0189041048725529,47.1219658919259,24.4243355911329,"ND",209
"FBgn0027330",22.2510477643455,23.2196209903046,0.894611198110422,46.2510477643455,47.2196209903046,"ND",11
"FBgn0027375",22.7553942381677,22.2224326375217,0.874076119820391,46.7553942381677,46.2224326375217,"ND",33
"FBgn0027562",11.2504793785513,9.47046309974123,-0.136627396737813,35.2504793785513,33.4704630997412,"D",147
"FBgn0027596",3.90726838288487,23.7188098264301,0.15108659205479,27.9072683828849,47.7188098264301,"D",2
"FBgn0027835",12.1313846978908,1.29700702618046,-0.440483678163698,36.1313846978908,25.2970070261805,"D",195
"FBgn0027836",22.2770615428386,22.1114469228505,0.849521186070375,46.2770615428386,46.1114469228504,"ND",35
"FBgn0028360",2.63988901257894,3.8480215990616,-0.729670391181644,26.6398890125789,27.8480215990616,"ND",176
"FBgn0028475",18.7981477988959,2.14233079417657,-0.12748005862198,42.7981477988959,26.1423307941766,"D",189
"FBgn0028684",13.6434056077824,22.0439990065747,0.486975192264882,37.6434056077824,46.0439990065747,"D",38
"FBgn0028686",12.6961734576197,21.9448796199639,0.443377211565981,36.6961734576197,45.9448796199639,"D",40
"FBgn0028688",12.2413908452763,21.6736370374153,0.413126161778817,36.2413908452763,45.6736370374153,"D",47
